,Code,Year,"Suicide rate (deaths per 100,000)","Mental and substance use disorder rate (number suffering per 100,000)"
3468,CYM,1960,,
3469,CYM,1961,,
3470,CYM,1962,,
3471,CYM,1963,,
3472,CYM,1964,,
3473,CYM,1965,,
3474,CYM,1966,,
3475,CYM,1967,,
3476,CYM,1968,,
3477,CYM,1969,,
3478,CYM,1970,,
3479,CYM,1971,,
3480,CYM,1972,,
3481,CYM,1973,,
3482,CYM,1974,,
3483,CYM,1975,,
3484,CYM,1976,,
3485,CYM,1977,,
3486,CYM,1978,,
3487,CYM,1979,,
3488,CYM,1980,,
3489,CYM,1981,,
3490,CYM,1982,,
3491,CYM,1983,,
3492,CYM,1984,,
3493,CYM,1985,,
3494,CYM,1986,,
3495,CYM,1987,,
3496,CYM,1988,,
3497,CYM,1989,,
3498,CYM,1990,,
3499,CYM,1991,,
3500,CYM,1992,,
3501,CYM,1993,,
3502,CYM,1994,,
3503,CYM,1995,,
3504,CYM,1996,,
3505,CYM,1997,,
3506,CYM,1998,,
3507,CYM,1999,,
3508,CYM,2000,,
3509,CYM,2001,,
3510,CYM,2002,,
3511,CYM,2003,,
3512,CYM,2004,,
3513,CYM,2005,,
3514,CYM,2006,,
3515,CYM,2007,,
3516,CYM,2008,,
3517,CYM,2009,,
3518,CYM,2010,,
3519,CYM,2011,,
3520,CYM,2012,,
3521,CYM,2013,,
3522,CAF,1800,,
3523,CAF,1820,,
3524,CAF,1936,,
3525,CAF,1950,,
3526,CAF,1951,,
3527,CAF,1952,,
3528,CAF,1953,,
3529,CAF,1954,,
3530,CAF,1955,,
3531,CAF,1956,,
3532,CAF,1957,,
