country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
MUS,5.647779942,9.812241554,0.784822047,65.17074585,0.824230313,0.163749352,0.879405558,0.808024526,0.222399607,0.56246227,0.804431081,0.858779669,1.964156508,0.347774982,,0.3575,0.388571531
MEX,6.679831028,9.708677292,0.781964958,67.61637115,0.779132903,-0.10005594,0.629851162,0.80164963,0.22873041,0.327582031,-0.426801324,-0.14058508,2.15046978,0.32193476,0.482,0.48475,0.443645418
MNG,4.824834824,9.336853981,0.943436682,61.68592072,0.752354145,0.130435705,0.908596814,0.627491593,0.170421317,0.337257385,0.516672909,-0.38137418,1.656273723,0.343280911,0.32,0.335833333,0.412042737
MNE,5.282720566,9.602149963,0.862930357,66.55479431,0.50266552,0.09407042,0.768465519,0.58744204,0.367646754,0.402112842,0.189877763,0.103568323,2.437800884,0.461466938,0.319,0.3093,0.364288688
MMR,4.786247253,8.470104218,0.774267435,57.17896271,,0.67777276,0.591632962,0.85796541,0.111978769,0.88881582,-1.215786576,-1.181872606,1.471635699,0.307471722,,0.381,0.427850604
NAM,4.573991299,9.171328545,0.762783587,53.45998383,0.849354982,-0.191406459,0.790228367,0.748636782,0.238961443,0.779543757,0.581020594,0.132853985,2.724567652,0.595665216,,0.6215,0.780119777
NPL,4.975014687,7.725852966,0.785883367,60.30058289,0.711877644,0.132952183,0.840685844,0.61392045,0.287447155,0.588195622,-0.577528298,-0.730323255,2.029189825,0.407876134,,0.383,0.497268409
NLD,7.32118845,10.72916317,0.908995748,71.61999512,0.910179615,0.319302261,0.45694837,0.867766142,0.220656529,0.525242269,1.296198368,1.889317155,1.410852313,0.192708105,0.286,0.286909091,0.455574274
NZL,7.305892467,10.44780922,0.942380846,71.47745514,0.931882441,0.338060349,0.272608608,0.847514093,0.199018866,0.629681349,1.49615562,2.036119938,1.675197124,0.229293972,,,0.394328237
NIC,6.275266647,8.473205566,0.838567436,65.55421448,0.817320645,0.105100371,0.698808014,0.81328392,0.333935738,0.584542394,-0.218253791,-0.707208276,2.720547438,0.43353495,0.466,0.48275,0.437158763
NER,4.180943489,6.807010651,0.752533853,50.2038269,0.687634289,-0.02864112,0.60472846,0.677612066,0.20466128,0.579107881,-0.68548876,-0.686674416,1.743516564,0.417015105,0.34,0.368,0.519941509
NOR,7.444470882,11.05752373,0.941161931,71.086586,0.956316173,0.154694989,0.404825836,0.833696604,0.194354936,0.699690521,1.402022839,1.932635188,1.637590885,0.219974115,0.268,0.271727273,0.413273871
PAK,5.435657978,8.428629875,0.551683307,56.99007797,0.543138504,0.126020953,0.676927507,0.584937394,0.295479774,0.425877184,-1.558651567,-0.758009017,2.169975519,0.399211198,,0.312571429,0.434137315
PAN,6.631171227,9.897058487,0.87347424,67.54421234,0.893915117,0.008149669,0.846593857,0.807689786,0.253815651,0.4400675,0.357318044,0.05853897,2.539329767,0.382938355,0.507,0.53675,0.560310006
PRY,5.118641853,9.048003197,0.959249556,63.20809174,0.759396434,0.009019198,0.762375772,0.943620622,0.215778142,0.193541795,-0.095734917,-0.711251497,1.927593708,0.37658304,0.517,0.519066667,0.421719491
PER,5.865815639,9.3540411,0.818986952,64.81194305,0.722352386,-0.147824064,0.877822161,0.758987725,0.319337994,0.240083769,-0.179069921,-0.206812978,2.051748276,0.34978056,0.441,0.4891875,0.387330234
PHL,5.312550068,8.792685509,0.813300192,59.88710403,0.902185738,-0.021333195,0.787219465,0.813341916,0.334036529,0.687083423,-0.27727744,-0.149540201,2.692250013,0.506771684,,0.418833333,0.479781032
POL,5.750282288,10.10016727,0.923642278,67.52420044,0.875357091,-0.07535246,0.897741735,0.776996672,0.222643748,0.252522856,0.97402674,0.839508891,2.052378654,0.356917888,0.321,0.334733333,0.378063649
