,Code,Year,Work hours per persons engaged (hours per person engaged)
145,AUT,1959,2072.3664497433947
146,AUT,1960,2069.7294804733865
147,AUT,1961,2057.013013266544
148,AUT,1962,2044.374676336989
149,AUT,1963,2031.8139896504406
150,AUT,1964,2019.3304761219556
151,AUT,1965,2006.9236615978127
152,AUT,1966,1994.593074837504
153,AUT,1967,1982.3382474958328
154,AUT,1968,1970.1587141051289
155,AUT,1969,1958.0540120575629
156,AUT,1970,1899.7267373057045
157,AUT,1971,1894.8526794311213
158,AUT,1972,1915.4184467713599
159,AUT,1973,1910.3743642557367
160,AUT,1974,1988.700890934588
161,AUT,1975,1913.6311537518934
162,AUT,1976,1907.6718059831906
163,AUT,1977,1914.4467174230133
164,AUT,1978,1853.4231632616145
165,AUT,1979,1886.201443506756
166,AUT,1980,1890.5785255954154
167,AUT,1981,1828.3703539399994
168,AUT,1982,1844.4290794858082
169,AUT,1983,1839.1960566013165
170,AUT,1984,1835.189078929204
171,AUT,1985,1830.771551551928
172,AUT,1986,1829.9480661172306
173,AUT,1987,1817.8924926737395
174,AUT,1988,1821.3248149045944
175,AUT,1989,1834.5033162731759
176,AUT,1990,1835.2938562148308
177,AUT,1991,1845.7610851221993
178,AUT,1992,1814.088400074202
179,AUT,1993,1811.4418111294626
180,AUT,1994,1809.6728191558625
181,AUT,1995,1783.4387148012427
182,AUT,1996,1816.2940077557469
183,AUT,1997,1825.0125385111407
184,AUT,1998,1803.3042610017
185,AUT,1999,1807.0144228056079
186,AUT,2000,1807.3633350636906
187,AUT,2001,1794.6181964271084
188,AUT,2002,1792.2169280954108
189,AUT,2003,1783.7724174729465
190,AUT,2004,1786.8139905441058
191,AUT,2005,1763.9837060480195
192,AUT,2006,1746.2071467716723
193,AUT,2007,1736.0281037446744
194,AUT,2008,1728.4684327876544
195,AUT,2009,1672.9973211676859
196,AUT,2010,1668.6378185204417
197,AUT,2011,1675.8801629384616
198,AUT,2012,1652.8714150354192
199,AUT,2013,1636.6986876441888
200,AUT,2014,1629.3684373286853
201,BGD,1970,2127.4453656308824
202,BGD,1971,2125.3782813743187
203,BGD,1972,2123.331658595955
204,BGD,1973,2122.1145192913887
205,BGD,1974,2121.7210182648405
206,BGD,1975,2122.145295777681
207,BGD,1976,2122.5653598913505
208,BGD,1977,2122.981258110758
209,BGD,1978,2123.393052340166
210,BGD,1979,2123.80076139348
211,BGD,1980,2124.204424936874
212,BGD,1981,2125.1815811797924
213,BGD,1982,2125.312466254849
214,BGD,1983,2126.021895698869
215,BGD,1984,2113.659247645678
216,BGD,1985,2088.4020284377275
217,BGD,1986,2048.927869266883
218,BGD,1987,2012.3183432693381
219,BGD,1988,1975.0095455106775
220,BGD,1989,1968.624688329581
221,BGD,1990,1993.4360156497848
222,BGD,1991,2033.341186129624
223,BGD,1992,2045.0726706570601
224,BGD,1993,2041.131381974031
225,BGD,1994,2037.1685071486834
226,BGD,1995,2033.1848156382362
227,BGD,1996,2028.123027263819
228,BGD,1997,2024.6076123183532
229,BGD,1998,2019.8983115758929
230,BGD,1999,2017.5695631656595
231,BGD,2000,2016.0069011519024
232,BGD,2001,2028.2034899498149
233,BGD,2002,2045.7993475932572
234,BGD,2003,2084.377733405532
235,BGD,2004,2163.6613744208166
236,BGD,2005,2266.9407614945603
237,BGD,2006,2342.0226281225587
238,BGD,2007,2373.297014743044
239,BGD,2008,2372.980581552443
240,BGD,2009,2372.664146141422
241,BGD,2010,2372.338713852525
242,BGD,2011,2372.017592640689
243,BGD,2012,2371.6871066434824
244,BGD,2013,2371.8132902080647
245,BGD,2014,2371.8132902080647
246,BRB,1991,1658.1062344139652
247,BRB,1992,1638.218674550382
248,BRB,1993,1660.333893695921
