,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%)
171,AGO,1999,4.8272022697
172,AGO,2000,4.82322510867
173,AGO,2001,4.81265271278
174,AGO,2002,4.797741096469999
175,AGO,2003,4.78961577816
176,AGO,2004,4.78852488438
177,AGO,2005,4.77332103244
178,AGO,2006,4.76810691767
179,AGO,2007,4.763472681680001
180,AGO,2008,4.75373419402
181,AGO,2009,4.74805502357
182,AGO,2010,4.74501620925
183,AGO,2011,4.73660781303
184,AGO,2012,4.73384664118
185,AGO,2013,4.73469213825
186,AGO,2014,4.72236212691
187,AGO,2015,4.71683156028
188,AGO,2016,4.71546722136
189,ATG,1990,3.18140184792
190,ATG,1991,3.1666602744700003
191,ATG,1992,3.1473416910900003
192,ATG,1993,3.1326715615300005
193,ATG,1994,3.1159195443799996
194,ATG,1995,3.1097156472700003
195,ATG,1996,3.11256429488
196,ATG,1997,3.1203141473
197,ATG,1998,3.12619436755
198,ATG,1999,3.1320507413200005
199,ATG,2000,3.13957899619
200,ATG,2001,3.1374742869000003
201,ATG,2002,3.1369733831200004
202,ATG,2003,3.13059037778
203,ATG,2004,3.1235872556700004
204,ATG,2005,3.127629119
205,ATG,2006,3.11796283715
206,ATG,2007,3.1057174844700004
207,ATG,2008,3.0990245621900003
208,ATG,2009,3.0938286296
209,ATG,2010,3.08388585898
210,ATG,2011,3.08891177523
211,ATG,2012,3.09369634012
212,ATG,2013,3.10672052943
213,ATG,2014,3.1138594154800003
214,ATG,2015,3.1224446339100003
215,ATG,2016,3.12805378004
216,ARG,1990,3.7686168636
217,ARG,1991,3.77951716178
218,ARG,1992,3.79331797257
219,ARG,1993,3.8033152677699995
220,ARG,1994,3.8163102591199993
221,ARG,1995,3.82405444149
222,ARG,1996,3.83052460638
223,ARG,1997,3.84142704374
224,ARG,1998,3.8442397860699997
225,ARG,1999,3.85483239023
226,ARG,2000,3.86351969921
227,ARG,2001,3.85864109246
228,ARG,2002,3.8611655419999997
229,ARG,2003,3.85791415768
230,ARG,2004,3.85721645575
231,ARG,2005,3.85620160354
232,ARG,2006,3.85175375996
233,ARG,2007,3.84624313864
234,ARG,2008,3.83793274179
235,ARG,2009,3.83392196794
236,ARG,2010,3.8293841493699996
237,ARG,2011,3.83064782356
238,ARG,2012,3.8329714733199998
239,ARG,2013,3.83301298394
240,ARG,2014,3.83788449364
241,ARG,2015,3.83396400808
242,ARG,2016,3.83997468316
243,ARM,1990,2.9392357792799997
244,ARM,1991,2.9341806511699997
245,ARM,1992,2.92652436875
246,ARM,1993,2.9174532343299995
247,ARM,1994,2.9087450364499996
248,ARM,1995,2.9045363288300003
249,ARM,1996,2.9122277003100003
250,ARM,1997,2.92045924639
251,ARM,1998,2.93107384861
252,ARM,1999,2.93757428217
253,ARM,2000,2.94363170296
254,ARM,2001,2.9486776916000004
255,ARM,2002,2.95649879707
256,ARM,2003,2.95744508018
257,ARM,2004,2.9615402865099996
258,ARM,2005,2.96731886462
259,ARM,2006,2.968729357
260,ARM,2007,2.9717533828200002
261,ARM,2008,2.97128865621
262,ARM,2009,2.9760263017799997
263,ARM,2010,2.9858523123400005
